№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
91,Антонова-Овсеенко,21,30.473019,59.908922,Солидарности просп.,4,30.490114000000002,59.92828000000001,587.5454545454545
92,Антонова-Овсеенко,21,30.473019,59.908922,Учебный пер.,5,30.336763,60.037252,2299.909090909091
93,Антонова-Овсеенко,21,30.473019,59.908922,наб. реки Фонтанки,154,30.28255,59.915765,1909.5454545454545
94,Апрельская,5,30.416749,59.962967000000006,Аккуратова,2,30.301594,60.015377,1676.4444444444443
95,Апрельская,5,30.416749,59.962967000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1591.2222222222222
96,Апрельская,5,30.416749,59.962967000000006,Будапештская,3,30.36382,59.873704000000004,2156.4444444444443
97,Апрельская,5,30.416749,59.962967000000006,Вавиловых,14,30.390563,60.024752,1457.888888888889
98,Апрельская,5,30.416749,59.962967000000006,Динамо пр.,3,30.279864,59.972699,1553.0
99,Апрельская,5,30.416749,59.962967000000006,Загородный просп.,47,30.321195,59.921804,1330.888888888889
100,Апрельская,5,30.416749,59.962967000000006,Костюшко,2,30.295701,59.849212,2553.6666666666665
101,Апрельская,5,30.416749,59.962967000000006,Кузнецовская,25,30.332577,59.87143199999999,1954.7777777777778
102,Апрельская,5,30.416749,59.962967000000006,Литейный просп.,56,30.349456,59.935069999999996,954.8888888888889
103,Апрельская,5,30.416749,59.962967000000006,Луначарского пр.,47,30.360164,60.036281,1557.3333333333333
104,Апрельская,5,30.416749,59.962967000000006,Льва Толстого,6/8,30.321859999999997,59.965309,974.2222222222222
105,Апрельская,5,30.416749,59.962967000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,677.5555555555555
106,Апрельская,5,30.416749,59.962967000000006,Народная,21,30.468124,59.879137,1175.6666666666667
107,Апрельская,5,30.416749,59.962967000000006,Оптиков,54,30.199033,60.000713,1794.2222222222222
