№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
90,Антонова-Овсеенко,21,30.473019,59.908922,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3096.6666666666665
91,Антонова-Овсеенко,21,30.473019,59.908922,Будапештская,3,30.36382,59.873704000000004,1962.7777777777778
92,Антонова-Овсеенко,21,30.473019,59.908922,Вавиловых,14,30.390563,60.024752,2489.8888888888887
93,Антонова-Овсеенко,21,30.473019,59.908922,Динамо пр.,3,30.279864,59.972699,2928.777777777778
94,Антонова-Овсеенко,21,30.473019,59.908922,Загородный просп.,47,30.321195,59.921804,2237.9444444444443
95,Антонова-Овсеенко,21,30.473019,59.908922,Костюшко,2,30.295701,59.849212,2354.9444444444443
96,Антонова-Овсеенко,21,30.473019,59.908922,Кузнецовская,25,30.332577,59.87143199999999,2044.888888888889
97,Антонова-Овсеенко,21,30.473019,59.908922,Литейный просп.,56,30.349456,59.935069999999996,1998.6666666666667
98,Антонова-Овсеенко,21,30.473019,59.908922,Луначарского пр.,47,30.360164,60.036281,2600.3888888888887
99,Антонова-Овсеенко,21,30.473019,59.908922,Льва Толстого,6/8,30.321859999999997,59.965309,2316.5
100,Антонова-Овсеенко,21,30.473019,59.908922,Мечникова пр.,27,30.410891999999997,59.986982999999995,1767.7777777777778
101,Антонова-Овсеенко,21,30.473019,59.908922,Народная,21,30.468124,59.879137,1030.6666666666667
102,Антонова-Овсеенко,21,30.473019,59.908922,Оптиков,54,30.199033,60.000713,3041.4444444444443
103,Антонова-Овсеенко,21,30.473019,59.908922,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1584.388888888889
104,Антонова-Овсеенко,21,30.473019,59.908922,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3557.8888888888887
105,Антонова-Овсеенко,21,30.473019,59.908922,Солидарности просп.,4,30.490114000000002,59.92828000000001,624.7777777777778
106,Антонова-Овсеенко,21,30.473019,59.908922,Учебный пер.,5,30.336763,60.037252,2807.277777777778
107,Антонова-Овсеенко,21,30.473019,59.908922,наб. реки Фонтанки,154,30.28255,59.915765,2926.3888888888887
108,Апрельская,5,30.416749,59.962967000000006,Аккуратова,2,30.301594,60.015377,2016.3333333333333
109,Апрельская,5,30.416749,59.962967000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2177.6666666666665
110,Апрельская,5,30.416749,59.962967000000006,Будапештская,3,30.36382,59.873704000000004,2550.0555555555557
111,Апрельская,5,30.416749,59.962967000000006,Вавиловых,14,30.390563,60.024752,1548.6666666666667
112,Апрельская,5,30.416749,59.962967000000006,Динамо пр.,3,30.279864,59.972699,1989.0555555555557
113,Апрельская,5,30.416749,59.962967000000006,Загородный просп.,47,30.321195,59.921804,1851.5555555555557
114,Апрельская,5,30.416749,59.962967000000006,Костюшко,2,30.295701,59.849212,3187.5555555555557
115,Апрельская,5,30.416749,59.962967000000006,Кузнецовская,25,30.332577,59.87143199999999,2351.8333333333335
