№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
193,Бармалеева,13,30.305735,59.964503,Луначарского пр.,47,30.360164,60.036281,3466.1666666666665
194,Бармалеева,13,30.305735,59.964503,Льва Толстого,6/8,30.321859999999997,59.965309,583.9444444444445
195,Бармалеева,13,30.305735,59.964503,Мечникова пр.,27,30.410891999999997,59.986982999999995,2457.222222222222
196,Бармалеева,13,30.305735,59.964503,Народная,21,30.468124,59.879137,3499.5
197,Бармалеева,13,30.305735,59.964503,Оптиков,54,30.199033,60.000713,2654.1111111111113
198,Бармалеева,13,30.305735,59.964503,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2536.722222222222
199,Бармалеева,13,30.305735,59.964503,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3611.222222222222
200,Бармалеева,13,30.305735,59.964503,Солидарности просп.,4,30.490114000000002,59.92828000000001,4014.3333333333335
201,Бармалеева,13,30.305735,59.964503,Учебный пер.,5,30.336763,60.037252,3319.6111111111113
202,Бармалеева,13,30.305735,59.964503,наб. реки Фонтанки,154,30.28255,59.915765,2810.3888888888887
203,Бассейная,83,30.349564,59.864548,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2622.8333333333335
204,Бассейная,83,30.349564,59.864548,Будапештская,3,30.36382,59.873704000000004,759.3888888888889
205,Бассейная,83,30.349564,59.864548,Вавиловых,14,30.390563,60.024752,5583.611111111111
206,Бассейная,83,30.349564,59.864548,Динамо пр.,3,30.279864,59.972699,3754.5
207,Бассейная,83,30.349564,59.864548,Загородный просп.,47,30.321195,59.921804,1058.8333333333333
208,Бассейная,83,30.349564,59.864548,Костюшко,2,30.295701,59.849212,1397.3333333333333
209,Бассейная,83,30.349564,59.864548,Кузнецовская,25,30.332577,59.87143199999999,392.27777777777777
210,Бассейная,83,30.349564,59.864548,Литейный просп.,56,30.349456,59.935069999999996,2058.1111111111113
211,Бассейная,83,30.349564,59.864548,Луначарского пр.,47,30.360164,60.036281,5690.333333333333
212,Бассейная,83,30.349564,59.864548,Льва Толстого,6/8,30.321859999999997,59.965309,3402.3333333333335
213,Бассейная,83,30.349564,59.864548,Народная,21,30.468124,59.879137,1344.4444444444443
214,Бассейная,83,30.349564,59.864548,Оптиков,54,30.199033,60.000713,5417.722222222223
215,Бассейная,83,30.349564,59.864548,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,6355.388888888889
216,Бассейная,83,30.349564,59.864548,Солидарности просп.,4,30.490114000000002,59.92828000000001,2383.3888888888887
217,Бассейная,83,30.349564,59.864548,Учебный пер.,5,30.336763,60.037252,6033.333333333333
218,Бассейная,83,30.349564,59.864548,наб. реки Фонтанки,154,30.28255,59.915765,1957.1666666666667
219,Белградская,10к1,30.360091999999998,59.868311,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3155.0555555555557
220,Белградская,10к1,30.360091999999998,59.868311,Будапештская,3,30.36382,59.873704000000004,623.7777777777778
221,Белградская,10к1,30.360091999999998,59.868311,Вавиловых,14,30.390563,60.024752,5985.944444444444
222,Белградская,10к1,30.360091999999998,59.868311,Динамо пр.,3,30.279864,59.972699,2982.5833333333335
223,Белградская,10к1,30.360091999999998,59.868311,Загородный просп.,47,30.321195,59.921804,1293.5
224,Белградская,10к1,30.360091999999998,59.868311,Костюшко,2,30.295701,59.849212,1941.8333333333333
225,Белградская,10к1,30.360091999999998,59.868311,Кузнецовская,25,30.332577,59.87143199999999,947.1111111111111
226,Белградская,10к1,30.360091999999998,59.868311,Литейный просп.,56,30.349456,59.935069999999996,2247.9444444444443
227,Белградская,10к1,30.360091999999998,59.868311,Луначарского пр.,47,30.360164,60.036281,6088.444444444444
228,Белградская,10к1,30.360091999999998,59.868311,Льва Толстого,6/8,30.321859999999997,59.965309,3745.4444444444443
229,Белградская,10к1,30.360091999999998,59.868311,Народная,21,30.468124,59.879137,1660.111111111111
230,Белградская,10к1,30.360091999999998,59.868311,Оптиков,54,30.199033,60.000713,5666.277777777777
231,Белградская,10к1,30.360091999999998,59.868311,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,6621.055555555556
232,Белградская,10к1,30.360091999999998,59.868311,Солидарности просп.,4,30.490114000000002,59.92828000000001,2717.722222222222
233,Белградская,10к1,30.360091999999998,59.868311,Учебный пер.,5,30.336763,60.037252,6483.0
234,Белградская,10к1,30.360091999999998,59.868311,наб. реки Фонтанки,154,30.28255,59.915765,2210.1111111111113
235,Белы Куна,2к1,30.373711,59.869399,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3286.8333333333335
236,Белы Куна,2к1,30.373711,59.869399,Будапештская,3,30.36382,59.873704000000004,565.7777777777778
237,Белы Куна,2к1,30.373711,59.869399,Вавиловых,14,30.390563,60.024752,5086.111111111111
238,Белы Куна,2к1,30.373711,59.869399,Динамо пр.,3,30.279864,59.972699,3120.9166666666665
239,Белы Куна,2к1,30.373711,59.869399,Загородный просп.,47,30.321195,59.921804,1454.388888888889
240,Белы Куна,2к1,30.373711,59.869399,Костюшко,2,30.295701,59.849212,2090.8888888888887
241,Белы Куна,2к1,30.373711,59.869399,Кузнецовская,25,30.332577,59.87143199999999,1104.4444444444443
242,Белы Куна,2к1,30.373711,59.869399,Литейный просп.,56,30.349456,59.935069999999996,2405.6111111111113
243,Белы Куна,2к1,30.373711,59.869399,Луначарского пр.,47,30.360164,60.036281,5210.5
244,Белы Куна,2к1,30.373711,59.869399,Льва Толстого,6/8,30.321859999999997,59.965309,3899.3888888888887
245,Белы Куна,2к1,30.373711,59.869399,Мечникова пр.,27,30.410891999999997,59.986982999999995,3649.8333333333335
246,Белы Куна,2к1,30.373711,59.869399,Народная,21,30.468124,59.879137,1989.888888888889
247,Белы Куна,2к1,30.373711,59.869399,Оптиков,54,30.199033,60.000713,5792.611111111111
248,Белы Куна,2к1,30.373711,59.869399,Пискаревский просп.,47,30.431328999999998,59.983422999999995,3495.5555555555557
249,Белы Куна,2к1,30.373711,59.869399,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,6749.888888888889
250,Белы Куна,2к1,30.373711,59.869399,Солидарности просп.,4,30.490114000000002,59.92828000000001,3049.3333333333335
