№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
84,Антонова-Овсеенко,21,30.473019,59.908922,Луначарского пр.,47,30.360164,60.036281,2024.375
85,Антонова-Овсеенко,21,30.473019,59.908922,Льва Толстого,6/8,30.321859999999997,59.965309,1740.25
86,Антонова-Овсеенко,21,30.473019,59.908922,Мечникова пр.,27,30.410891999999997,59.986982999999995,1250.375
87,Антонова-Овсеенко,21,30.473019,59.908922,Народная,21,30.468124,59.879137,841.625
88,Антонова-Овсеенко,21,30.473019,59.908922,Оптиков,54,30.199033,60.000713,2540.375
89,Антонова-Овсеенко,21,30.473019,59.908922,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1260.5
90,Антонова-Овсеенко,21,30.473019,59.908922,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,3238.625
91,Антонова-Овсеенко,21,30.473019,59.908922,Солидарности просп.,4,30.490114000000002,59.92828000000001,571.625
92,Антонова-Овсеенко,21,30.473019,59.908922,Учебный пер.,5,30.336763,60.037252,2201.125
93,Антонова-Овсеенко,21,30.473019,59.908922,наб. реки Фонтанки,154,30.28255,59.915765,1853.125
94,Апрельская,5,30.416749,59.962967000000006,Аккуратова,2,30.301594,60.015377,1510.375
95,Апрельская,5,30.416749,59.962967000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1525.5
96,Апрельская,5,30.416749,59.962967000000006,Будапештская,3,30.36382,59.873704000000004,2113.25
97,Апрельская,5,30.416749,59.962967000000006,Вавиловых,14,30.390563,60.024752,1414.75
98,Апрельская,5,30.416749,59.962967000000006,Динамо пр.,3,30.279864,59.972699,1503.875
99,Апрельская,5,30.416749,59.962967000000006,Загородный просп.,47,30.321195,59.921804,1195.125
100,Апрельская,5,30.416749,59.962967000000006,Костюшко,2,30.295701,59.849212,2451.5
101,Апрельская,5,30.416749,59.962967000000006,Кузнецовская,25,30.332577,59.87143199999999,1876.75
102,Апрельская,5,30.416749,59.962967000000006,Литейный просп.,56,30.349456,59.935069999999996,873.75
103,Апрельская,5,30.416749,59.962967000000006,Луначарского пр.,47,30.360164,60.036281,1499.125
104,Апрельская,5,30.416749,59.962967000000006,Льва Толстого,6/8,30.321859999999997,59.965309,936.25
105,Апрельская,5,30.416749,59.962967000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,657.75
106,Апрельская,5,30.416749,59.962967000000006,Народная,21,30.468124,59.879137,1131.25
107,Апрельская,5,30.416749,59.962967000000006,Оптиков,54,30.199033,60.000713,1727.125
108,Апрельская,5,30.416749,59.962967000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,519.75
109,Апрельская,5,30.416749,59.962967000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2637.5
110,Апрельская,5,30.416749,59.962967000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,1058.25
111,Апрельская,5,30.416749,59.962967000000006,Учебный пер.,5,30.336763,60.037252,1686.375
112,Апрельская,5,30.416749,59.962967000000006,наб. реки Фонтанки,154,30.28255,59.915765,1503.125
113,Асафьева,12,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1051.5
114,Асафьева,12,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2172.5
115,Асафьева,12,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,3260.0
116,Асафьева,12,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1460.5
117,Асафьева,12,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,1874.0
118,Асафьева,12,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2208.0
119,Асафьева,12,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,3500.0
