№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
118,Асафьева,12,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,3839.0
119,Асафьева,12,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,5528.5
120,Асафьева,12,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,4782.0
121,Асафьева,12,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,3164.5
122,Асафьева,12,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,1033.0
123,Асафьева,12,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,2554.0
124,Асафьева,12,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,2148.0
125,Асафьева,12,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,3120.5
126,Асафьева,12,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,4114.5
127,Асафьева,12,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2468.0
128,Асафьева,12,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2997.0
129,Асафьева,12,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,982.5
130,Асафьева,12,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,4116.0
131,Асафьева,12к1,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1267.8333333333333
132,Асафьева,12к1,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2895.5
133,Асафьева,12к1,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,4069.8333333333335
134,Асафьева,12к1,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1542.1666666666667
135,Асафьева,12к1,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2219.8333333333335
136,Асафьева,12к1,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2910.6666666666665
137,Асафьева,12к1,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,4652.333333333333
138,Асафьева,12к1,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3807.6666666666665
139,Асафьева,12к1,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,2427.1666666666665
140,Асафьева,12к1,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,1026.5
141,Асафьева,12к1,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,2029.0
142,Асафьева,12к1,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,2029.6666666666667
143,Асафьева,12к1,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,3016.1666666666665
144,Асафьева,12к1,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2687.6666666666665
145,Асафьева,12к1,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2646.0
146,Асафьева,12к1,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2833.6666666666665
147,Асафьева,12к1,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,964.0
148,Асафьева,12к1,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,3260.8333333333335
149,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3023.5
150,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Будапештская,3,30.36382,59.873704000000004,1860.0
151,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Вавиловых,14,30.390563,60.024752,3963.5
152,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Загородный просп.,47,30.321195,59.921804,2301.5
153,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Костюшко,2,30.295701,59.849212,1430.5
154,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Кузнецовская,25,30.332577,59.87143199999999,1452.0
155,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Литейный просп.,56,30.349456,59.935069999999996,4292.0
156,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Луначарского пр.,47,30.360164,60.036281,4404.0
157,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Льва Толстого,6/8,30.321859999999997,59.965309,5143.5
158,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,3111.0
159,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Народная,21,30.468124,59.879137,1707.5
160,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Оптиков,54,30.199033,60.000713,6019.0
161,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,3093.0
162,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,6502.5
163,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,2943.5
164,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Учебный пер.,5,30.336763,60.037252,4493.0
165,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,наб. реки Фонтанки,154,30.28255,59.915765,2178.5
166,Бадаева,11,30.443114,59.920975,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3121.625
167,Бадаева,11,30.443114,59.920975,Будапештская,3,30.36382,59.873704000000004,2467.625
168,Бадаева,11,30.443114,59.920975,Вавиловых,14,30.390563,60.024752,3101.875
169,Бадаева,11,30.443114,59.920975,Динамо пр.,3,30.279864,59.972699,2957.375
170,Бадаева,11,30.443114,59.920975,Загородный просп.,47,30.321195,59.921804,2165.875
171,Бадаева,11,30.443114,59.920975,Костюшко,2,30.295701,59.849212,3417.375
172,Бадаева,11,30.443114,59.920975,Кузнецовская,25,30.332577,59.87143199999999,2548.875
173,Бадаева,11,30.443114,59.920975,Литейный просп.,56,30.349456,59.935069999999996,2005.0
174,Бадаева,11,30.443114,59.920975,Луначарского пр.,47,30.360164,60.036281,3244.75
175,Бадаева,11,30.443114,59.920975,Льва Толстого,6/8,30.321859999999997,59.965309,2190.0
176,Бадаева,11,30.443114,59.920975,Мечникова пр.,27,30.410891999999997,59.986982999999995,2328.375
177,Бадаева,11,30.443114,59.920975,Народная,21,30.468124,59.879137,1443.5
